c,a,t,val
156,E2_dim_alert_E1_E2,2026-01-15 10:05:10,
156,E2_dim_alert_W1_E2,2026-01-15 10:05:12,
156,E2_dim_alert_W1_W1,2026-01-15 10:05:13,
156,dim_W1,2026-01-15 10:05:17,
156,E2_dim_alert_E1_E1,2026-01-15 10:05:19,
156,dim_E1,2026-01-15 10:05:21,
157,plate_captured_E1,2026-01-15 12:00:04,BBB220
157,turn_on_E1,2026-01-15 12:00:08,
157,E1_turn_on_alert_E2_E1,2026-01-15 12:00:09,
157,E1_turn_on_alert_W1_E1,2026-01-15 12:00:10,
157,E1_turn_on_alert_E2_E2,2026-01-15 12:00:12,
157,turn_on_E2,2026-01-15 12:00:13,
157,E1_turn_on_alert_W1_W1,2026-01-15 12:00:16,
157,turn_on_W1,2026-01-15 12:00:20,
158,motion_detected_E2,2026-01-15 12:05:00,1
158,plate_captured_E2,2026-01-15 12:05:03,BBB220
159,E2_dim_alert_E1_E2,2026-01-15 12:05:09,
160,E2_dim_alert_E1_E1,2026-01-15 12:05:17,
160,dim_E1,2026-01-15 12:05:20,
160,E2_dim_alert_W1_W1,2026-01-15 12:05:23,
160,dim_W1,2026-01-15 12:05:24,
161,motion_detected_E1,2026-01-15 14:00:00,1
161,plate_captured_E1,2026-01-15 14:00:03,BBB221
161,turn_on_E1,2026-01-15 14:00:07,
161,E1_turn_on_alert_E2_E1,2026-01-15 14:00:09,
161,E1_turn_on_alert_W1_E1,2026-01-15 14:00:13,
161,E1_turn_on_alert_W1_W1,2026-01-15 14:00:17,
161,turn_on_W1,2026-01-15 14:00:18,
162,turn_on_E2,2026-01-15 14:00:23,
163,motion_detected_E2,2026-01-15 14:05:00,1
163,plate_captured_E2,2026-01-15 14:05:04,BBB221
163,dim_E2,2026-01-15 14:05:07,
164,E2_dim_alert_W1_E2,2026-01-15 14:05:13,
164,E2_dim_alert_W1_W1,2026-01-15 14:05:14,
164,dim_W1,2026-01-15 14:05:15,
164,E2_dim_alert_E1_E1,2026-01-15 14:05:17,
165,motion_detected_E1,2026-01-15 16:00:00,1
165,plate_captured_E1,2026-01-15 16:00:01,BBB222
166,E1_turn_on_alert_E2_E1,2026-01-15 16:00:06,
166,E1_turn_on_alert_W1_E1,2026-01-15 16:00:10,
166,E1_turn_on_alert_E2_E2,2026-01-15 16:00:12,
166,turn_on_E2,2026-01-15 16:00:13,
167,turn_on_W1,2026-01-15 16:00:18,
168,motion_detected_E2,2026-01-15 16:05:00,1
168,plate_captured_E2,2026-01-15 16:05:02,BBB222
168,dim_E2,2026-01-15 16:05:03,
168,E2_dim_alert_E1_E2,2026-01-15 16:05:06,
169,E2_dim_alert_E1_E1,2026-01-15 16:05:11,
169,dim_E1,2026-01-15 16:05:12,
169,E2_dim_alert_W1_W1,2026-01-15 16:05:15,
169,dim_W1,2026-01-15 16:05:19,
170,motion_detected_E1,2026-01-15 18:00:00,1
170,plate_captured_E1,2026-01-15 18:00:03,BBB223
170,turn_on_E1,2026-01-15 18:00:05,
170,E1_turn_on_alert_E2_E1,2026-01-15 18:00:06,
170,E1_turn_on_alert_W1_E1,2026-01-15 18:00:10,
170,E1_turn_on_alert_W1_W1,2026-01-15 18:00:13,
170,turn_on_W1,2026-01-15 18:00:15,
170,E1_turn_on_alert_E2_E2,2026-01-15 18:00:16,
170,turn_on_E2,2026-01-15 18:00:17,
171,motion_detected_E2,2026-01-15 18:05:00,1
171,plate_captured_E2,2026-01-15 18:05:01,BBB223
171,dim_E2,2026-01-15 18:05:03,
171,E2_dim_alert_E1_E2,2026-01-15 18:05:04,
171,E2_dim_alert_W1_E2,2026-01-15 18:05:07,
171,E2_dim_alert_W1_W1,2026-01-15 18:05:08,
171,dim_W1,2026-01-15 18:05:11,
171,E2_dim_alert_E1_E1,2026-01-15 18:05:15,
171,dim_E1,2026-01-15 18:05:16,
172,motion_detected_E1,2026-01-15 20:00:00,1
172,plate_captured_E1,2026-01-15 20:00:01,BBB224
172,turn_on_E1,2026-01-15 20:00:02,
172,E1_turn_on_alert_W1_E1,2026-01-15 20:00:05,
172,E1_turn_on_alert_E2_E2,2026-01-15 20:00:08,
172,turn_on_E2,2026-01-15 20:00:12,
172,E1_turn_on_alert_W1_W1,2026-01-15 20:00:15,
172,turn_on_W1,2026-01-15 20:00:18,
173,motion_detected_E2,2026-01-15 20:05:00,1
173,plate_captured_E2,2026-01-15 20:05:03,BBB224
173,dim_E2,2026-01-15 20:05:07,
173,E2_dim_alert_E1_E2,2026-01-15 20:05:09,
173,E2_dim_alert_W1_E2,2026-01-15 20:05:12,
173,E2_dim_alert_E1_E1,2026-01-15 20:05:16,
173,dim_E1,2026-01-15 20:05:17,
173,E2_dim_alert_W1_W1,2026-01-15 20:05:18,
173,dim_W1,2026-01-15 20:05:21,
174,motion_detected_E1,2026-01-15 22:00:00,1
175,turn_on_E1,2026-01-15 22:00:08,
175,E1_turn_on_alert_E2_E1,2026-01-15 22:00:12,
175,E1_turn_on_alert_W1_E1,2026-01-15 22:00:15,
175,E1_turn_on_alert_W1_W1,2026-01-15 22:00:17,
175,turn_on_W1,2026-01-15 22:00:20,
175,E1_turn_on_alert_E2_E2,2026-01-15 22:00:22,
175,turn_on_E2,2026-01-15 22:00:26,
176,motion_detected_E2,2026-01-15 22:05:00,1
176,plate_captured_E2,2026-01-15 22:05:03,BBB225
176,dim_E2,2026-01-15 22:05:06,
176,E2_dim_alert_E1_E2,2026-01-15 22:05:07,
176,E2_dim_alert_W1_E2,2026-01-15 22:05:09,
176,E2_dim_alert_W1_W1,2026-01-15 22:05:13,
176,dim_W1,2026-01-15 22:05:16,
176,E2_dim_alert_E1_E1,2026-01-15 22:05:19,
176,dim_E1,2026-01-15 22:05:20,
177,motion_detected_E1,2026-01-16 00:00:00,1
177,plate_captured_E1,2026-01-16 00:00:04,BBB226
177,turn_on_E1,2026-01-16 00:00:08,
177,E1_turn_on_alert_E2_E1,2026-01-16 00:00:11,
177,E1_turn_on_alert_W1_E1,2026-01-16 00:00:13,
177,E1_turn_on_alert_E2_E2,2026-01-16 00:00:14,
178,E1_turn_on_alert_W1_W1,2026-01-16 00:00:19,
178,turn_on_W1,2026-01-16 00:00:20,
179,plate_captured_E2,2026-01-16 00:05:01,BBB226
179,dim_E2,2026-01-16 00:05:02,
179,E2_dim_alert_E1_E2,2026-01-16 00:05:04,
179,E2_dim_alert_W1_E2,2026-01-16 00:05:08,
179,E2_dim_alert_E1_E1,2026-01-16 00:05:10,
179,dim_E1,2026-01-16 00:05:12,
179,E2_dim_alert_W1_W1,2026-01-16 00:05:13,
180,motion_detected_E1,2026-01-16 02:00:00,1
180,plate_captured_E1,2026-01-16 02:00:02,BBB227
180,turn_on_E1,2026-01-16 02:00:06,
180,E1_turn_on_alert_E2_E1,2026-01-16 02:00:08,
180,E1_turn_on_alert_W1_E1,2026-01-16 02:00:09,
180,E1_turn_on_alert_W1_W1,2026-01-16 02:00:12,
180,turn_on_W1,2026-01-16 02:00:13,
180,E1_turn_on_alert_E2_E2,2026-01-16 02:00:14,
180,turn_on_E2,2026-01-16 02:00:15,
181,motion_detected_E2,2026-01-16 02:05:00,1
181,plate_captured_E2,2026-01-16 02:05:03,BBB227
181,dim_E2,2026-01-16 02:05:06,
181,E2_dim_alert_E1_E2,2026-01-16 02:05:09,
181,E2_dim_alert_W1_E2,2026-01-16 02:05:12,
181,E2_dim_alert_W1_W1,2026-01-16 02:05:16,
181,dim_W1,2026-01-16 02:05:17,
181,E2_dim_alert_E1_E1,2026-01-16 02:05:20,
181,dim_E1,2026-01-16 02:05:21,
182,motion_detected_E1,2026-01-16 04:00:00,1
182,plate_captured_E1,2026-01-16 04:00:03,BBB228
182,turn_on_E1,2026-01-16 04:00:06,
182,E1_turn_on_alert_E2_E1,2026-01-16 04:00:09,
182,E1_turn_on_alert_W1_E1,2026-01-16 04:00:11,
182,E1_turn_on_alert_E2_E2,2026-01-16 04:00:13,
182,turn_on_E2,2026-01-16 04:00:15,
182,E1_turn_on_alert_W1_W1,2026-01-16 04:00:16,
182,turn_on_W1,2026-01-16 04:00:17,
183,motion_detected_E2,2026-01-16 04:05:00,1
184,E2_dim_alert_W1_E2,2026-01-16 04:05:08,
184,E2_dim_alert_E1_E1,2026-01-16 04:05:11,
184,dim_E1,2026-01-16 04:05:14,
184,E2_dim_alert_W1_W1,2026-01-16 04:05:17,
184,dim_W1,2026-01-16 04:05:18,
185,motion_detected_E1,2026-01-16 06:00:00,1
185,plate_captured_E1,2026-01-16 06:00:01,BBB229
185,turn_on_E1,2026-01-16 06:00:03,
185,E1_turn_on_alert_E2_E1,2026-01-16 06:00:07,
185,E1_turn_on_alert_W1_W1,2026-01-16 06:00:11,
185,turn_on_W1,2026-01-16 06:00:12,
185,E1_turn_on_alert_E2_E2,2026-01-16 06:00:13,
186,motion_detected_E2,2026-01-16 06:05:00,1
186,dim_E2,2026-01-16 06:05:03,
186,E2_dim_alert_E1_E2,2026-01-16 06:05:04,
186,E2_dim_alert_W1_E2,2026-01-16 06:05:07,
186,E2_dim_alert_W1_W1,2026-01-16 06:05:10,
187,E2_dim_alert_E1_E1,2026-01-16 06:05:15,
187,dim_E1,2026-01-16 06:05:16,
188,motion_detected_E1,2026-01-16 08:00:00,1
188,plate_captured_E1,2026-01-16 08:00:03,BBB230
188,turn_on_E1,2026-01-16 08:00:07,
188,E1_turn_on_alert_E2_E1,2026-01-16 08:00:08,
188,E1_turn_on_alert_W1_E1,2026-01-16 08:00:10,
188,E1_turn_on_alert_E2_E2,2026-01-16 08:00:14,
188,turn_on_E2,2026-01-16 08:00:18,
188,E1_turn_on_alert_W1_W1,2026-01-16 08:00:22,
188,turn_on_W1,2026-01-16 08:00:25,
189,motion_detected_E2,2026-01-16 08:05:00,1
189,plate_captured_E2,2026-01-16 08:05:02,BBB230
189,dim_E2,2026-01-16 08:05:06,
190,E2_dim_alert_W1_E2,2026-01-16 08:05:12,
190,E2_dim_alert_E1_E1,2026-01-16 08:05:15,
190,dim_E1,2026-01-16 08:05:16,
190,E2_dim_alert_W1_W1,2026-01-16 08:05:19,
190,dim_W1,2026-01-16 08:05:22,
191,motion_detected_E1,2026-01-16 10:00:00,1
191,plate_captured_E1,2026-01-16 10:00:03,BBB231
191,turn_on_E1,2026-01-16 10:00:07,
191,E1_turn_on_alert_E2_E1,2026-01-16 10:00:09,
191,E1_turn_on_alert_W1_E1,2026-01-16 10:00:11,
191,E1_turn_on_alert_W1_W1,2026-01-16 10:00:15,
191,turn_on_W1,2026-01-16 10:00:16,
191,E1_turn_on_alert_E2_E2,2026-01-16 10:00:17,
191,turn_on_E2,2026-01-16 10:00:20,
192,motion_detected_E2,2026-01-16 10:05:00,1
192,plate_captured_E2,2026-01-16 10:05:04,BBB231
192,dim_E2,2026-01-16 10:05:08,
192,E2_dim_alert_E1_E2,2026-01-16 10:05:12,
192,E2_dim_alert_W1_E2,2026-01-16 10:05:13,
192,E2_dim_alert_W1_W1,2026-01-16 10:05:14,
192,dim_W1,2026-01-16 10:05:16,
193,dim_E1,2026-01-16 10:05:21,
194,motion_detected_E1,2026-01-16 12:00:00,1
194,plate_captured_E1,2026-01-16 12:00:02,BBB232
194,turn_on_E1,2026-01-16 12:00:04,
194,E1_turn_on_alert_E2_E1,2026-01-16 12:00:05,
194,E1_turn_on_alert_W1_E1,2026-01-16 12:00:08,
194,E1_turn_on_alert_E2_E2,2026-01-16 12:00:09,
194,turn_on_E2,2026-01-16 12:00:11,
194,E1_turn_on_alert_W1_W1,2026-01-16 12:00:13,
194,turn_on_W1,2026-01-16 12:00:16,
195,motion_detected_E2,2026-01-16 12:05:00,1
195,E2_dim_alert_E1_E2,2026-01-16 12:05:04,
195,E2_dim_alert_W1_E2,2026-01-16 12:05:07,
195,E2_dim_alert_E1_E1,2026-01-16 12:05:08,
195,dim_E1,2026-01-16 12:05:12,
195,E2_dim_alert_W1_W1,2026-01-16 12:05:13,
196,motion_detected_E1,2026-01-16 14:00:00,1
196,plate_captured_E1,2026-01-16 14:00:04,BBB233
196,turn_on_E1,2026-01-16 14:00:06,
196,E1_turn_on_alert_E2_E1,2026-01-16 14:00:07,
196,E1_turn_on_alert_W1_E1,2026-01-16 14:00:09,
196,E1_turn_on_alert_W1_W1,2026-01-16 14:00:10,
196,turn_on_W1,2026-01-16 14:00:12,
196,E1_turn_on_alert_E2_E2,2026-01-16 14:00:13,
196,turn_on_E2,2026-01-16 14:00:17,
197,motion_detected_E2,2026-01-16 14:05:00,1
197,plate_captured_E2,2026-01-16 14:05:01,BBB233
197,dim_E2,2026-01-16 14:05:03,
197,E2_dim_alert_E1_E2,2026-01-16 14:05:05,
197,E2_dim_alert_W1_E2,2026-01-16 14:05:09,
198,dim_W1,2026-01-16 14:05:14,
198,E2_dim_alert_E1_E1,2026-01-16 14:05:18,
198,dim_E1,2026-01-16 14:05:20,
199,motion_detected_E1,2026-01-16 16:00:00,1
199,plate_captured_E1,2026-01-16 16:00:03,BBB234
199,turn_on_E1,2026-01-16 16:00:07,
199,E1_turn_on_alert_E2_E1,2026-01-16 16:00:09,
199,E1_turn_on_alert_W1_E1,2026-01-16 16:00:13,
199,E1_turn_on_alert_E2_E2,2026-01-16 16:00:17,
199,turn_on_E2,2026-01-16 16:00:21,
200,motion_detected_E2,2026-01-16 16:05:00,1
200,plate_captured_E2,2026-01-16 16:05:02,BBB234
200,dim_E2,2026-01-16 16:05:03,
200,E2_dim_alert_E1_E2,2026-01-16 16:05:06,
201,E2_dim_alert_E1_E1,2026-01-16 16:05:11,
201,dim_E1,2026-01-16 16:05:14,
201,E2_dim_alert_W1_W1,2026-01-16 16:05:16,
201,dim_W1,2026-01-16 16:05:18,
202,motion_detected_E1,2026-01-16 18:00:00,1
202,plate_captured_E1,2026-01-16 18:00:01,BBB235
202,turn_on_E1,2026-01-16 18:00:03,
203,E1_turn_on_alert_W1_E1,2026-01-16 18:00:09,
203,E1_turn_on_alert_W1_W1,2026-01-16 18:00:10,
203,turn_on_W1,2026-01-16 18:00:14,
203,E1_turn_on_alert_E2_E2,2026-01-16 18:00:17,
203,turn_on_E2,2026-01-16 18:00:19,
204,motion_detected_E2,2026-01-16 18:05:00,1
204,plate_captured_E2,2026-01-16 18:05:01,BBB235
205,E2_dim_alert_W1_E2,2026-01-16 18:05:06,
205,E2_dim_alert_W1_W1,2026-01-16 18:05:08,
205,dim_W1,2026-01-16 18:05:12,
205,E2_dim_alert_E1_E1,2026-01-16 18:05:14,
206,plate_captured_E1,2026-01-16 20:00:02,BBB236
206,turn_on_E1,2026-01-16 20:00:04,
206,E1_turn_on_alert_E2_E1,2026-01-16 20:00:07,
206,E1_turn_on_alert_W1_E1,2026-01-16 20:00:08,
206,E1_turn_on_alert_E2_E2,2026-01-16 20:00:10,
206,turn_on_E2,2026-01-16 20:00:11,
206,E1_turn_on_alert_W1_W1,2026-01-16 20:00:15,
206,turn_on_W1,2026-01-16 20:00:17,
207,motion_detected_E2,2026-01-16 20:05:00,1
207,plate_captured_E2,2026-01-16 20:05:01,BBB236
207,dim_E2,2026-01-16 20:05:05,
207,E2_dim_alert_E1_E2,2026-01-16 20:05:08,
207,E2_dim_alert_W1_E2,2026-01-16 20:05:12,
207,E2_dim_alert_E1_E1,2026-01-16 20:05:15,
207,dim_E1,2026-01-16 20:05:16,
207,E2_dim_alert_W1_W1,2026-01-16 20:05:18,
207,dim_W1,2026-01-16 20:05:21,
208,motion_detected_E1,2026-01-16 22:00:00,1
208,plate_captured_E1,2026-01-16 22:00:04,BBB237
208,turn_on_E1,2026-01-16 22:00:06,
208,E1_turn_on_alert_E2_E1,2026-01-16 22:00:07,
208,E1_turn_on_alert_W1_E1,2026-01-16 22:00:08,
208,E1_turn_on_alert_W1_W1,2026-01-16 22:00:10,
208,turn_on_W1,2026-01-16 22:00:13,
208,E1_turn_on_alert_E2_E2,2026-01-16 22:00:17,
208,turn_on_E2,2026-01-16 22:00:20,
209,motion_detected_E2,2026-01-16 22:05:00,1
209,plate_captured_E2,2026-01-16 22:05:04,BBB237
209,dim_E2,2026-01-16 22:05:08,
209,E2_dim_alert_E1_E2,2026-01-16 22:05:10,
209,E2_dim_alert_W1_E2,2026-01-16 22:05:14,
209,E2_dim_alert_W1_W1,2026-01-16 22:05:17,
209,dim_W1,2026-01-16 22:05:21,
209,E2_dim_alert_E1_E1,2026-01-16 22:05:22,
209,dim_E1,2026-01-16 22:05:25,
210,plate_captured_E1,2026-01-17 00:00:03,BBB238
210,turn_on_E1,2026-01-17 00:00:05,
210,E1_turn_on_alert_E2_E1,2026-01-17 00:00:09,
210,E1_turn_on_alert_W1_E1,2026-01-17 00:00:10,
210,E1_turn_on_alert_E2_E2,2026-01-17 00:00:11,
210,turn_on_E2,2026-01-17 00:00:12,
210,E1_turn_on_alert_W1_W1,2026-01-17 00:00:13,
211,plate_captured_E2,2026-01-17 00:05:02,BBB238
211,dim_E2,2026-01-17 00:05:04,
211,E2_dim_alert_E1_E2,2026-01-17 00:05:06,
211,E2_dim_alert_E1_E1,2026-01-17 00:05:10,
211,dim_E1,2026-01-17 00:05:14,
211,E2_dim_alert_W1_W1,2026-01-17 00:05:18,
211,dim_W1,2026-01-17 00:05:20,
212,motion_detected_E1,2026-01-17 02:00:00,1
212,plate_captured_E1,2026-01-17 02:00:02,BBB239
212,turn_on_E1,2026-01-17 02:00:03,
212,E1_turn_on_alert_E2_E1,2026-01-17 02:00:07,
212,E1_turn_on_alert_W1_E1,2026-01-17 02:00:09,
212,E1_turn_on_alert_W1_W1,2026-01-17 02:00:10,
212,turn_on_W1,2026-01-17 02:00:12,
212,E1_turn_on_alert_E2_E2,2026-01-17 02:00:15,
212,turn_on_E2,2026-01-17 02:00:16,
213,motion_detected_E2,2026-01-17 02:05:00,1
213,plate_captured_E2,2026-01-17 02:05:04,BBB239
213,dim_E2,2026-01-17 02:05:08,
213,E2_dim_alert_E1_E2,2026-01-17 02:05:10,
213,E2_dim_alert_W1_E2,2026-01-17 02:05:11,
213,E2_dim_alert_W1_W1,2026-01-17 02:05:14,
213,dim_W1,2026-01-17 02:05:15,
213,E2_dim_alert_E1_E1,2026-01-17 02:05:17,
213,dim_E1,2026-01-17 02:05:19,
214,plate_captured_E1,2026-01-17 04:00:04,BBB240
214,turn_on_E1,2026-01-17 04:00:06,
214,E1_turn_on_alert_E2_E1,2026-01-17 04:00:08,
214,E1_turn_on_alert_W1_E1,2026-01-17 04:00:09,
214,E1_turn_on_alert_E2_E2,2026-01-17 04:00:13,
214,turn_on_E2,2026-01-17 04:00:15,
214,E1_turn_on_alert_W1_W1,2026-01-17 04:00:18,
214,turn_on_W1,2026-01-17 04:00:19,
215,plate_captured_E2,2026-01-17 04:05:03,BBB240
215,dim_E2,2026-01-17 04:05:07,
215,E2_dim_alert_E1_E2,2026-01-17 04:05:11,
215,E2_dim_alert_W1_E2,2026-01-17 04:05:15,
215,E2_dim_alert_E1_E1,2026-01-17 04:05:16,
215,E2_dim_alert_W1_W1,2026-01-17 04:05:20,
215,dim_W1,2026-01-17 04:05:24,
216,motion_detected_E1,2026-01-17 06:00:00,1
217,turn_on_E1,2026-01-17 06:00:07,
217,E1_turn_on_alert_E2_E1,2026-01-17 06:00:10,
217,E1_turn_on_alert_W1_E1,2026-01-17 06:00:11,
217,E1_turn_on_alert_W1_W1,2026-01-17 06:00:13,
217,turn_on_W1,2026-01-17 06:00:15,
217,E1_turn_on_alert_E2_E2,2026-01-17 06:00:17,
217,turn_on_E2,2026-01-17 06:00:20,
218,motion_detected_E2,2026-01-17 06:05:00,1
218,plate_captured_E2,2026-01-17 06:05:03,BBB241
218,dim_E2,2026-01-17 06:05:06,
218,E2_dim_alert_E1_E2,2026-01-17 06:05:08,
218,E2_dim_alert_W1_E2,2026-01-17 06:05:12,
218,E2_dim_alert_W1_W1,2026-01-17 06:05:16,
218,dim_W1,2026-01-17 06:05:20,
218,E2_dim_alert_E1_E1,2026-01-17 06:05:24,
218,dim_E1,2026-01-17 06:05:28,
219,motion_detected_E1,2026-01-17 08:00:00,1
219,plate_captured_E1,2026-01-17 08:00:04,BBB242
219,turn_on_E1,2026-01-17 08:00:06,
219,E1_turn_on_alert_E2_E1,2026-01-17 08:00:07,
219,E1_turn_on_alert_W1_E1,2026-01-17 08:00:11,
220,turn_on_E2,2026-01-17 08:00:16,
220,E1_turn_on_alert_W1_W1,2026-01-17 08:00:18,
220,turn_on_W1,2026-01-17 08:00:21,
221,motion_detected_E2,2026-01-17 08:05:00,1
221,plate_captured_E2,2026-01-17 08:05:02,BBB242
221,dim_E2,2026-01-17 08:05:06,
221,E2_dim_alert_E1_E2,2026-01-17 08:05:09,
221,E2_dim_alert_W1_E2,2026-01-17 08:05:11,
221,E2_dim_alert_E1_E1,2026-01-17 08:05:13,
221,dim_E1,2026-01-17 08:05:16,
221,E2_dim_alert_W1_W1,2026-01-17 08:05:20,
221,dim_W1,2026-01-17 08:05:24,
222,motion_detected_E1,2026-01-17 10:00:00,1
222,plate_captured_E1,2026-01-17 10:00:04,BBB243
222,turn_on_E1,2026-01-17 10:00:06,
222,E1_turn_on_alert_E2_E1,2026-01-17 10:00:10,
222,E1_turn_on_alert_W1_E1,2026-01-17 10:00:12,
222,E1_turn_on_alert_W1_W1,2026-01-17 10:00:13,
222,turn_on_W1,2026-01-17 10:00:17,
222,E1_turn_on_alert_E2_E2,2026-01-17 10:00:19,
222,turn_on_E2,2026-01-17 10:00:21,
223,motion_detected_E2,2026-01-17 10:05:00,1
223,plate_captured_E2,2026-01-17 10:05:04,BBB243
223,dim_E2,2026-01-17 10:05:07,
223,E2_dim_alert_E1_E2,2026-01-17 10:05:08,
224,E2_dim_alert_W1_W1,2026-01-17 10:05:13,
224,dim_W1,2026-01-17 10:05:16,
224,E2_dim_alert_E1_E1,2026-01-17 10:05:20,
224,dim_E1,2026-01-17 10:05:23,
225,motion_detected_E1,2026-01-17 12:00:00,1
225,plate_captured_E1,2026-01-17 12:00:04,BBB244
225,turn_on_E1,2026-01-17 12:00:05,
225,E1_turn_on_alert_E2_E1,2026-01-17 12:00:09,
225,E1_turn_on_alert_W1_E1,2026-01-17 12:00:10,
225,E1_turn_on_alert_E2_E2,2026-01-17 12:00:14,
225,E1_turn_on_alert_W1_W1,2026-01-17 12:00:18,
225,turn_on_W1,2026-01-17 12:00:19,
226,motion_detected_E2,2026-01-17 12:05:00,1
226,plate_captured_E2,2026-01-17 12:05:03,BBB244
227,E2_dim_alert_E1_E2,2026-01-17 12:05:09,
227,E2_dim_alert_W1_E2,2026-01-17 12:05:12,
227,E2_dim_alert_E1_E1,2026-01-17 12:05:13,
227,dim_E1,2026-01-17 12:05:15,
227,E2_dim_alert_W1_W1,2026-01-17 12:05:16,
227,dim_W1,2026-01-17 12:05:19,
228,motion_detected_E1,2026-01-17 14:00:00,1
228,plate_captured_E1,2026-01-17 14:00:03,BBB245
229,E1_turn_on_alert_E2_E1,2026-01-17 14:00:09,
229,E1_turn_on_alert_W1_E1,2026-01-17 14:00:11,
229,E1_turn_on_alert_W1_W1,2026-01-17 14:00:13,
229,turn_on_W1,2026-01-17 14:00:17,
229,E1_turn_on_alert_E2_E2,2026-01-17 14:00:18,
229,turn_on_E2,2026-01-17 14:00:19,
230,motion_detected_E2,2026-01-17 14:05:00,1
230,plate_captured_E2,2026-01-17 14:05:04,BBB245
230,dim_E2,2026-01-17 14:05:06,
230,E2_dim_alert_E1_E2,2026-01-17 14:05:07,
230,E2_dim_alert_W1_E2,2026-01-17 14:05:09,
230,E2_dim_alert_W1_W1,2026-01-17 14:05:13,
230,dim_W1,2026-01-17 14:05:16,
230,E2_dim_alert_E1_E1,2026-01-17 14:05:19,
230,dim_E1,2026-01-17 14:05:21,
231,motion_detected_E1,2026-01-17 16:00:00,1
231,plate_captured_E1,2026-01-17 16:00:01,BBB246
231,turn_on_E1,2026-01-17 16:00:02,
231,E1_turn_on_alert_E2_E1,2026-01-17 16:00:06,
231,E1_turn_on_alert_W1_E1,2026-01-17 16:00:07,
231,E1_turn_on_alert_E2_E2,2026-01-17 16:00:11,
231,turn_on_E2,2026-01-17 16:00:13,
231,turn_on_W1,2026-01-17 16:00:16,
232,motion_detected_E2,2026-01-17 16:05:00,1
232,dim_E2,2026-01-17 16:05:02,
232,E2_dim_alert_E1_E2,2026-01-17 16:05:06,
232,E2_dim_alert_W1_E2,2026-01-17 16:05:08,
232,E2_dim_alert_E1_E1,2026-01-17 16:05:09,
232,dim_E1,2026-01-17 16:05:12,
232,E2_dim_alert_W1_W1,2026-01-17 16:05:15,
232,dim_W1,2026-01-17 16:05:19,
233,motion_detected_E1,2026-01-17 18:00:00,1
233,plate_captured_E1,2026-01-17 18:00:02,BBB247
233,turn_on_E1,2026-01-17 18:00:03,
233,E1_turn_on_alert_E2_E1,2026-01-17 18:00:05,
233,E1_turn_on_alert_W1_E1,2026-01-17 18:00:08,
233,E1_turn_on_alert_W1_W1,2026-01-17 18:00:09,
233,turn_on_W1,2026-01-17 18:00:13,
233,E1_turn_on_alert_E2_E2,2026-01-17 18:00:16,
233,turn_on_E2,2026-01-17 18:00:18,
234,motion_detected_E2,2026-01-17 18:05:00,1
234,plate_captured_E2,2026-01-17 18:05:01,BBB247
234,dim_E2,2026-01-17 18:05:04,
234,E2_dim_alert_E1_E2,2026-01-17 18:05:06,
234,E2_dim_alert_W1_E2,2026-01-17 18:05:10,
234,E2_dim_alert_W1_W1,2026-01-17 18:05:12,
234,dim_W1,2026-01-17 18:05:15,
234,E2_dim_alert_E1_E1,2026-01-17 18:05:16,
234,dim_E1,2026-01-17 18:05:17,
235,motion_detected_E1,2026-01-17 20:00:00,1
235,plate_captured_E1,2026-01-17 20:00:03,BBB248
235,turn_on_E1,2026-01-17 20:00:06,
235,E1_turn_on_alert_E2_E1,2026-01-17 20:00:08,
235,E1_turn_on_alert_W1_E1,2026-01-17 20:00:10,
235,E1_turn_on_alert_E2_E2,2026-01-17 20:00:11,
235,turn_on_E2,2026-01-17 20:00:12,
235,E1_turn_on_alert_W1_W1,2026-01-17 20:00:14,
235,turn_on_W1,2026-01-17 20:00:17,
236,motion_detected_E2,2026-01-17 20:05:00,1
236,plate_captured_E2,2026-01-17 20:05:02,BBB248
236,dim_E2,2026-01-17 20:05:04,
236,E2_dim_alert_E1_E2,2026-01-17 20:05:08,
236,E2_dim_alert_W1_E2,2026-01-17 20:05:10,
236,E2_dim_alert_E1_E1,2026-01-17 20:05:14,
236,dim_E1,2026-01-17 20:05:16,
236,E2_dim_alert_W1_W1,2026-01-17 20:05:19,
236,dim_W1,2026-01-17 20:05:20,
237,motion_detected_E1,2026-01-17 22:00:00,1
237,plate_captured_E1,2026-01-17 22:00:03,BBB249
237,turn_on_E1,2026-01-17 22:00:05,
237,E1_turn_on_alert_E2_E1,2026-01-17 22:00:07,
237,E1_turn_on_alert_W1_E1,2026-01-17 22:00:10,
237,E1_turn_on_alert_W1_W1,2026-01-17 22:00:12,
237,turn_on_W1,2026-01-17 22:00:15,
237,E1_turn_on_alert_E2_E2,2026-01-17 22:00:18,
237,turn_on_E2,2026-01-17 22:00:22,
238,motion_detected_E2,2026-01-17 22:05:00,1
238,plate_captured_E2,2026-01-17 22:05:04,BBB249
239,E2_dim_alert_E1_E2,2026-01-17 22:05:09,
239,E2_dim_alert_W1_E2,2026-01-17 22:05:13,
239,E2_dim_alert_W1_W1,2026-01-17 22:05:17,
239,dim_W1,2026-01-17 22:05:19,
239,E2_dim_alert_E1_E1,2026-01-17 22:05:22,
239,dim_E1,2026-01-17 22:05:26,
240,plate_captured_E1,2026-01-18 00:00:01,BBB250
240,turn_on_E1,2026-01-18 00:00:03,
240,E1_turn_on_alert_E2_E1,2026-01-18 00:00:05,
